entity,answer
Дороги Ярости,Стефан Форбс (Stefan Czapsky)
Санктум,Джавиер Агирресароба (Javier Aguirresarobe)
Иван Васильевич меняет профессию,Вадим Юсов (Vadim Yusov)
Веном,Мэттью Либатик (Matthew Libatique)
Горько,Сергей Трофимов (Sergey Trofimov)
Пассажир,Пол Камерон (Paul Cameron)
Гордость и предубеждение,Бен Дэвис (Ben Davis)
Клик-бейт,Джон Грэм (John Grillo)
Бегущий в лабиринте,Эндрю Шульц (Andrew Schultz)
Человек из стали,Эмбер Кляйн (Amir Mokri)
Унесенные ветром,Леонард Смит (Leonard Smith)
Начало,Валентин Чернюк (Valentin Chernykh)
Чужестранка,Андрес Лукито (Andres Luktic)
Любовь и голуби,Сергей Жигунов (Sergey Zhigunov)
8 миля,Петер Демин (Peter Deming)
Девчата,Владимир Монаков (Vladimir Monakhov)
Крепкий орешек,Оливер Вуд (Oliver Wood)
Пираты Карибского моря,Дариусз Вольски (Dariusz Wolski)
Супер Майк,Стивен Содерберг (Steven Soderbergh)
Отпетые мошенницы,Лиззи Силас (Lizzy Silvas)
Парк юрского периода часть 2,Хойте ван Хойтема (Hoyte van Hoytema)
Джентльмены удачи,Игорь Чернявский (Igor Chernyavskiy)
Человек-паук,Билл Поп (Bill Pope)
Малефисента,Дин Семлер (Dean Semler)
Форсаж,Энрике Чедиак (Enrique Chediak)
Кин-дза-дза,Алексей Родионов (Aleksei Rodionov)
Сталкер,Алексей Родионов (Aleksei Rodionov)
Игры разума,Джон Мэттиесон (John Mathieson)
Терминатор 2,Адам Гринберг (Adam Greenberg)
Воды слонам,Эндриго Гуильарт (Andrigo Guimaraes)
Один дома,Джулио Макат (Julio Macat)
Выживший,Альваро Руиз Капединьяс (Alvaro Ruiz Capellan)
Я худею,Джейк Полански (Jake Polonsky)
Дети Шпионов,Роджер Прэтт (Roger Pratt)
Властелин колец,Эндрю Лесни (Andrew Lesnie)
Кавказская пленница,Михаил Чурюмов (Mikhail Churiumov)
Елки,Владимир Шиндерович (Vladimir Shinderovich)
Призрачный гонщик,Рогер Прэтт (Roger Pratt)
Готика,Томас Шейди (Tom Sigel)
Молчание ягнят,Так Фуджимото (Tak Fujimoto)
Девчата,Александр Григорьев (Aleksandr Grigorev)
Дневник памяти,Рогер Прэтт (Roger Pratt)
Сбежавшая невеста,Хенри Барановский (Henri Barakat)
11,Максим Осадчий (Maksym Osadchiy)
Штрафбат,Петр Шишко (Petr Shishko)
Мулен Руж,Ди Фиоре (Daryn Okada)
Географ глобус пропил,Алексей Родионов (Aleksei Rodionov)
Аватар,Мауро Фьори (Mauro Fiore)
Аватар,Мауро Фьори (Mauro Fiore)
Бегущий по лезвию,Джордж Гайзер (George Gibbs)
Парк юрского периода часть 1,Дин Канди (Dean Cundey)
Середина 90-х,Христофер Блайн (Christopher Blauvelt)
Горько,Ян Поляковский (Yan Polakovsky)
Изгой один,Григ Фрааз (Greig Fraser)
одноклассники,Ян Поляковский (Yan Polakovsky)
Табор уходит в небо,Вадим Юсов (Vadim Yusov)
Я худею,Ян Поляковский (Yan Polakovsky)
Матрица,Дон Дэвис (Don Davis)
"Бегущий в лабиринте,Лекарство от смерти",Пауль Кэмерон (Paul Cameron)
Крестный отец,Гордон Уиллис (Gordon Willis)
Гарри Поттер и философский камень,Крис Кури (Chris Columbus)
Сталкер,Алексей Родионов (Aleksei Rodionov)
