entity,answer
Белоснежка и охотник,"Кристен Стюарт, Крис Хемсворт"
Стиляги,"Антон Шагин, Оксана Акиньшина"
"Беги, Форест, беги","Том Хэнкс, Робин Райт"
Квартирка Джо,"Джек Глисон, Яннис Цивас"
Стыд,"Алексей Серебряков, Игорь Петренко"
Американский пирог,"Джейсон Биггз, Эйлиш Фишер"
7 друзей Оушена,"Джордж Клуни, Брэд Питт, Мэтт Дэймон"
Интерстеллар,"Мэттью МакКонахи, Энн Хэтэуэй"
Человек-Паук,"Тоби Магуайр, Кирстен Данст"
Побег из Шоушенка,"Тим Роббинс, Морган Фриман"
Вечерней школе,"Валентин Гафт, Александр Демьяненко"
Догма,"Мэтт Дэймон, Бен Аффлек"
"Хоббит,Нежданное путешествие","Мартин Фриман, Иэн МакКеллен"
Беверли Хиллз 90210,"Джейсон Престли, Шеннен Доэрти"
Саша и Таня,"Анна Хилькевич, Ян Цапник"
На игле,"Игги Поп, Юэн МакГрегор"
Игра престолов,"Кит Харингтон, Эмилия Кларк, Лина Хиди, Питер Динклэйдж, Николай Костер-Вальдау"
Джон Уик,"Киану Ривз, Майкл Никкельс"
Три икса,"Мировое господство,Вин Дизель, Донни Йен"
Мстители,"Роберт Дауни мл., Крис Эванс, Скарлетт Йоханссон"
Аватар,"Сэм Уортингтон, Зои Салдана"
Шерлок,"Бенедикт Камбербэтч, Мартин Фриман"
Зеленая миля,"Том Хэнкс, Майкл Кларк Дункан"
Мирный воин,"Джоэль Эдгертон, Том Харди"
Человек-Паук,"Тоби Магуайр, Кирстен Данст"
"Карты, деньги, 2 ствола","Джейсон Стэйтем, Рэй Уинстон"
Восточный экспресс,"Кеннет Брана, Пенелопа Крус"
Секретные материалы,"Дэвид Духовны, Джиллиан Андерсон"
Большой куш,"Джейсон Стэйтем, Джейсон Флеминг"
Мститель,"Александр Ревва, Артур Смольянинов"
Мачо и ботан,"Джон Чо, Кали Перри"
Весна на Заречной улице,"Василий Ливанов, Нина Гребешкова"
Аладдин,"Мина Массуд, Наоми Скотт"
Т-34,"Александр Петров, Виктор Добронравов"
Хроники Нарнии,"Скандар Кейнс, Джорджи Генчев"
Открой глаза,"Эдуард Суровый, Мария Порошина"
Омерзительная восьмерка,"Сэмюэл Л. Джексон, Курт Рассел"
Фантастическая четверка,"Майкл Б. Джордан, Майлз Теллер"
Мистер и миссис Смит,"Брэд Питт, Анджелина Джоли"
Крит,"Джейсон Стэйтем, Лиам Нисон"
Бумер,"Владимир Вдовиченков, Андрей Мерзликин"
Темный Феникс,"Софи Тёрнер, Джеймс МакЭвой."
Д'Артаньян и три мушкетера,"Михаил Боярский, Венсан Кассель."
Возвращение в голубую лагуну,"Мила Йовович, Брайан Краузе."
Дом у озера,"Киану Ривз, Сандра Буллок."
Унесенные ветром,"Вивьен Ли, Кларк Гейбл."
Ванильное небо,"Том Круз, Пенелопа Крус."
Я зомби,"Роза Макайвер, Малкольм Гудвин."
Гений,"Антонио Бандерас, Кэтрин Зета-Джонс."
13 друзей Оушена,"Джордж Клуни, Брэд Питт, Мэтт Дэймон."
Брат,"Сергей Бодров, Виктор Сухоруков."
Человек-паук,"Тоби Магуайр, Кирстен Данст."
Няньки,"Скарлетт Йоханссон, Зои Кравиц."
Апокалипсис,"Оскар Айзек, Дженнифер Лоуренс."
Супермен,"Кристофер Рив, Марго Киддер."
Титаник,"Леонардо ДиКаприо, Кейт Уинслет."
Поющие в терновнике,"Маргарита Терехова, Валентин Талызин."
Счастливы вместе,"Дмитрий Нагиев, Екатерина Вилкова."
Репродукция,"Александр Петров, Лиза Боярская."
Обитель зла,"Милла Йовович, Мишель Родригес."
Гоголь,"Александр Петров, Олег Меньшиков."
Обиженные цветы,"Сергей Шнуров, Екатерина Гусева."
Мальчишник в Вегасе,"Брэдли Купер, Зак Галифианакис."
Босиком по мостовой,"Марат Башаров, Анна Чиповская."
Дневники вампира,"Нина Добрев, Пол Уэсли."
Человек-паук,"Тоби Магуайр, Кирстен Данст."
На 50 оттенков темнее,"Дакота Джонсон, Джейми Дорнан."
Форма Воды,"Салли Хокинс, Даг Джонс."
Друзья,"Дженнифер Энистон, Куртни Кокс, Дэвид Швиммер, Лиса Кудроу, Мэттью Перри, Мэтт Леблан."
Трансформеры 1 часть,"Шайа ЛаБаф, Меган Фокс."
Пиковая дама,"Иван Дмитриев, Юлия Хлынина."
Отряд самоубийц,"Уилл Смит, Марго Робби."
Апгрейд,"Логан Маршалл-Грин, Мелани Валльехо-Галлиард."
Кавказская пленница,"Алексей Петренко, Александр Семчев."
Гарольд и Кумар,"Джон Чо, Кал Пенн."
Неудержимые,"Дензел Вашингтон, Крис Пайн."
Клуб Завтрак,"Джаред Лето, Дайан Крюгер."
Бойцовский клуб,"Брэд Питт, Эдвард Нортон."
Любовь и голуби,"Лия Ахеджакова, Александр Михайлов."
Начало,"Леонардо ДиКаприо, Джозеф Гордон-Левитт."
Мстители,"Роберт Дауни мл., Крис Эванс, Скарлетт Йоханссон."
Герой,"Джет Ли, Тони Люнь."
Титаник,"Леонардо ДиКаприо, Кейт Уинслет."
Аватар,"Сэм Уортингтон, Зои Салдана."
Леон,"Жан Рено, Натали Портман."
Сербский фильм,"Саша Григорьевич, Святослав Чипченко."
Пленницы,"Хью Дэнси, Рассел Кроу."
Два отца и два сына,"Владимир Машков, Сергей Гармаш."
Властелин колец,"Элайджа Вуд, Иэн МакКеллен."
Люди в черном,"Уилл Смит, Томми Ли Джонс."
Молчание ягнят,"Джоди Фостер, Энтони Хопкинс."
Аквамен,"Джейсон Момоа, Амбер Хёрд."
Бум,"Ольга Куриленко, Пьер Найнгем."
Тупой и еще тупее,"Джим Керри, Джефф Дэниелс."
Рокки,"Сильвестр Сталлоне, Талия Шайр."
План побега 3,"Сильвестр Сталлоне, Дэйв Батиста."
Доктор Джекилл и мисс Хайд,"Спенсер Трейси, Ингрид Бергман."
Щелкунчик и четыре королевства,"Маккензи Фой, Кира Найтли."
Аквамен,"Джейсон Момоа, Амбер Хёрд."
Игра Престолов,"Кит Харингтон, Эмилия Кларк, Лина Хиди, Питер Динклэйдж, Николай Костер-Вальдау."
Виноваты звезды,"Шейлин Вудли, Энсел Эльгорт."
Пассажиры,"Дженнифер Лоуренс, Крис Прэтт."
Форсаж,"Вин Дизель, Пол Уокер."
Наркокурьер,"Джейсон Стэйтем, Дженсен Эклс."
Спартак,"Энди Уитфилд, Лиам МакИнтайр."
День труда,"Эйтан Хоук, Сидни Лемет."
Друзья,"Дженнифер Энистон, Куртни Кокс, Дэвид Швиммер, Лиса Кудроу, Мэттью Перри, Мэтт Леблан."
Сумерки,"Кристен Стюарт, Роберт Паттинсон."
Брат,"Сергей Бодров, Виктор Сухоруков."
Анна и король,"Чоу Юн-Фат, Джоди Фостер."
Т-34,"Александр Петров, Виктор Добронравов."
Во все тяжкие,"Брайан Крэнстон, Аарон Пол."
Форсаж,"Вин Дизель, Пол Уокер."
Обитель проклятых,"Дженнифер Коннелли, Тим Роббинс."
Криминальное чтиво,"Джон Траволта, Сэмюэл Л. Джексон."
Бригада,"Сергей Безруков, Дмитрий Дюжев."
Стражи галактики,"Крис Прэтт, Зои Салдана."
Аватар,"Сэм Уортингтон, Зои Салдана."
Мелодрама,"Татьяна Лютаева, Игорь Верник."
Корабль,"Игорь Жижикин, Екатерина Климова."
Начало,"Леонардо ДиКаприо, Джозеф Гордон-Левитт."
Ученик чародея,"Бенедикт Камбербэтч, Тильда Суинтон."
Непрощенный,"Клинт Иствуд, Гене Хэкман."
Бывшие,"Кэмерон Брайт, Кейт Уолш."
Мститель,"Роберт Дауни мл., Крис Эванс, Скарлетт Йоханссон."
Ледокол,"Петр Федоров, Сергей Пускепалис."
