text,label
сми  финляндия арестовала имущество главреда «московского комсомольца» павла гусева и счета компании faberlic,1
в германии осудили 92 летнего охранника концлагеря,1
в соборе святой софии начался первый за 86 лет намаз,1
в украине приняли закон о национализации имущества граждан россии,1
чиновница призвавшая «найти и покарать предателей втянувших россию в болонскую систему» оказалась участницей её внедрения в 2003 году ,0
губернатор курильского федерального округа  установка знака северные территории японии не говорит о передаче островов токио ,0
определен возраст самых уязвимых перед мошенниками россиян,1
дональд трамп ввёл санкции против урагана «флоренс» ,0
из за пожаров в красноярском крае погибли семь человек,1
белта  планировавшие госпереворот в беларуси боевики выдали себя русской речью ,0
навальный призвал сша и ес открыть «информационный фронт» против кремля и закупить в соцсетях рекламу для независимых сми,1
«он был крестным отцом румынского народа»  в бухаресте прошли акции посвященные памяти чаушеску ,0
алла пугачёва пригрозила поднять крестьянское восстание в случае возбуждения уголовного дела против максима галкина ,0
россия ввела высокий уровень террористической опасности в регионах  граничащих с украиной,1
потомок александра невского покаялся за предка помешавшего евроинтеграции руси ,0
постпред сша в обсе заявил о планах россии аннексировать часть востока украины,1
российские коммунисты заявили о рекордной прибыли с продажи лимитированной коллекции одежды ,0
пограничники обстреляли фрегат «адмирал эссен» приняв его за эсминец «дефендер» ,0
зеленский — оон  «либо устраните россию как источник войны  либо самоустранитесь»,1
роуэн аткинсон претендует на пост премьер министра великобритании ,0
компания tata steel отказалась от российского угля  она была его крупнейшим импортером в индии в начале года,1
фбр уличило китайское консульство в укрывательстве связанного с армией биолога,1
сценарист «карточного домика» бо уиллимон приехал в украину снимать документальный фильм о войне  он посетил бучу и бородянку,1
дмитрий крымов и евгений цыганов стали лауреатами «золотой маски»  цыганов от имени крымова попросил отдать премию дмитрию муратову,1
из за санкций количество перелётных птиц улетевших зимовать в тёплые края сократилось на 30  ,0
глубокая озабоченность принесла российскому студенту победу на всемирной дипломатической олимпиаде ,0
курс евро взлетел,1
вагит алекперов покинул пост главы «лукойла»,1
эрдоган второй раз за неделю посетил превращенный в мечеть собор святой софии,1
«меня достаточно»  джим керри заявил  что сделал перерыв в карьере,1
армения присоединится к санкциям против россии из за отравления скрипалей ,0
в россии собрались бороться с госкомпаниями,1
группа би 2 отменила концерт в омске из за баннера с буквой z на сцене — «om1 ru»,1
в воз заявили об обеспечивающих половину заражений covid 19 трех странах,1
генсек оон объявил о сложении с себя полномочий в пользу любого из представителей чёрной расы ,0
тиньков сообщил  что из за его антивоенной позиции кремль вынудил его продать банк за 3  от реальной стоимости,1
лукашенко  инаугурацию проведу в тесном семейном кругу я уже не в том возрасте когда хотят пышных вечеринок ,0
в госдуме рассмотрят возможность продления срока полномочий действующего созыва парламента ,0
имена чиновников засекретят чтобы избежать западных санкций ,0
ангела меркель излечилась от коронавируса после телефонного разговора с президентом туркменистана ,0
барак обама объявил о переходе в республиканскую партию ,0
helsingin sanomat  финляндия и швеция могут одновременно подать заявки на вступление в нато на следующей неделе,1
крупнейшие импортеры алкоголя объявили о снижении цен в россии,1
илон маск получит двухмиллиардную премию от tesla,1
российские военные расстреляли мирных жителей бучи — подоляк,1
обнаружены эффективные антитела против коронавируса,1
в европарламенте призвали поддержать больных обезьяньей оспой объятиями ,0
на майских выходных лдпр будет раздавать жителям тывы водку «жириновский» ,0
борис джонсон  «будем проводить референдумы по brexit каждый год пока не получим правильный результат» ,0
депутат госдумы раскритиковал моду на бедность ,0
российские власти заявили  что в страну прибыли полмиллиона беженцев из украины,1
ес внес «аэрофлот» и еще 20 российских авиакомпаний в список небезопасных перевозчиков,1
министр обороны канады сингх назвал индию вонючей дырой ,0
новый президент казахстана назвал своего пса нурсултаном ,0
суд в петербурге запретил клип инстасамки и смн на песню «ауе» за пропаганду философии воров в законе и тюремных понятий,1
кремль отреагировал на британский доклад о вмешательстве россии в выборы,1
валентина терешкова получила множество писем от граждан с требованием отменить выборы губернаторов ,0
белым медведям в арктике предсказали вымирание через 20 лет,1
генпрокуратура рф назвала «циничной ложью» сообщения из бучи и пообещала дать им «уголовно правовую оценку»,1
депутатам госдумы временно запретили покидать россию ,0
верховный суд беларуси признал nexta  nexta live и luxta террористическими организациями,1
состояние крайне тяжелое 92 летний краско с безжизненным взглядом угодил в камеру,0
под омском обнаружили две линии древнейшего метрополитена ,0
цру пригласило навального прочитать цикл лекций по социальной инженерии ,0
стало известно о сложной операции королю саудовской аравии,1
неизвестный открыл стрельбу в метро нью йорка  пострадали как минимум 13 человек,1
от мёртвого енота хвост  трамп отказался платить компенсации индейцам пострадавшим от случайно выпущенной военными плотоядной бактерии ,0
в курской области с 11 апреля введут желтый уровень террористической опасности,1
отец пятерых детей поехал в путешествие по россии и умер с отказавшими ногами,1
российские войска ударили по железнодорожной станции красное во львовской области,1
хакеры из anonymous получили доступ к документам липецкого завода  который ремонтирует российскую военную технику,1
мертвая для певицы валерии выбрали хрустальный гроб,0
«союз медведя и петуха»  марин ле пен рассказала о перспективах отношений с россией ,0
россия избежала дефолта по еврооблигациям — bloomberg,1
российские войска начали «битву за донбасс»  к которой давно готовились — зеленский,1
роспотребнадзор подготовил рекомендации по рассадке зрителей в театрах,1
«никаких сепаратных договоров за спиной беларуси быть не может»  лукашенко потребовал участия беларуси в переговорах рф и украины,1
в литве объявили себя «донором советского союза» ,0
мишустин рассказал о потере гаража,1
россиянка пожаловалась в полицию на поселившегося в квартире чебурашку,1
британец публично осудил бориса джонсона и королеву елизавету чтобы не потерять рабочее место в мгу ,0
герхард шрёдер станет кандидатом от единой россии на президентских выборах 2024 года ,0
победителя президентских выборов в казахстане определят по итогам голосования граждан и политического жюри ,0
с начала войны в украине погибли 176 детей  еще 324 ранены — генпрокуратура украины,1
«матч тв»  российские призеры олимпиады получат деньги вместо автомобилей,1
gulagu net  в тюрьме димитровграда пытают заключенных мусульман  в знак протеста они вскрыли себе вены и объявили голодовку,1
минобороны рф сообщило  что крейсер «москва» затонул,1
си цзиньпин отправил в отставку 29 губернаторов из за подозрений в лени ,0
борис джонсон займет место принца гарри в королевской семье ,0
уиллу смиту на 10 лет запретили посещать церемонию «оскара»  после того  как он дал пощечину крису року,1
россия выделит 20 млрд долларов для снижения цен на топливо в казахстане ,0
историка юрия дмитриева  приговоренного к 15 годам заключения  отправили в колонию строгого режима,1
чечня заказала золотые медали имени кадырова с бриллиантами,1
император нарухито отменил запрет на деятельность компартии японии и стал её председателем ,0
генерал участвовавший в расстреле белого дома в москве присоединился к команде трампа ,0
предвыборный список «единой россии» возглавят медведев мишустин и мишкин ,0
к следующим выборам цик удвоит число сотрудников подсчитывающих результаты электронного голосования ,0
мосгорсуд заявил о недопустимости давления по делу ефремова,1
боевики тихановской отравили водоёмы с белорусской треской ,0
попавшие в плен к российским военным украинские волонтеры рассказали об избиениях и применении электрошокера,1
«бесплатные кружки марксизма ленинизма в каждом районе»  интервью с главным коммунистом россии максимом сурайкиным ,0
служба доставки сдэк отключила трансляции из нескольких российских и белорусских отделений на границе с украиной  по этим видео вычисляли предполагаемых мародеров,1
мировые военные расходы впервые превысили  2 трлн в год  россия на пятом месте,1
«притворялся кабаном»  солдат срочник признался что выступил в качестве живой мишени для депутата рашкина ,0
в госдуме предложили сделать платными все зарубежные сайты ,0
юлия пересильд с борта мкс рассказала о своих идеях по поправкам в конституцию ,0
ереван  россия должна использовать официальное название хайастан вместо советско колониального армения ,0
жители российского города подарили квартиру ветерану,1
вблизи бучи  по данным полиции украины  нашли новое захоронение  руки погибших людей связаны  на глазах — повязки,1
женщину заказавшую службу за здравие навального в главном храме вооруженных сил объявили в федеральный розыск ,0
россиянам пообещали новый минимум по ипотеке,1
объяснено тайное значение нарядов мелании трамп,1
банки рф не вернулись к активной валютной торговле из за дефицита наличных  купить доллары или евро можно по высокому курсу или vip клиентам,1
с 1 мая аккредитация журналистов в госдуме не распространяется на столовую ,0
цб рф предупредил о задержках при денежных переводах по номеру телефона,1
россиянам предложат выкупить квартиры одиноких пенсионеров,1
тинькофф банк будет ставить на счётчик мутных клиентов ,0
в белоруссии 4 ноября пройдёт общенациональное молитвенное покаяние перед александром лукашенко ,0
на фоне сообщений о победе «единой россии» на выборах в госдуму немецкий индекс dax упал до рекордно низкого уровня ,0
белорусский кгб задержал сына александра лукашенко ,0
лукашенко предложил передать крым белоруссии ,0
путин подписал закон  который запрещает средства защиты информации «из недружественных стран» и разрешает фсб доступ к сайтам госучреждений,1
«это не взлом хакеров  это наше осознанное решение  главный мотив — совесть» — журналисты lenta ru о публикации антивоенных текстов на сайте,1
«карма — штука жестокая»  советник главы офиса президента украины прокомментировал взрывы в белгородской  воронежской и курской областях,1
сша пытаются восстановить доступ к системе swift после хакерской атаки со стороны россии ,0
штаб квартиру нато в даугавпилсе построили в виде свастики ,0
трамп предложил китаю помочь со строительством стены вокруг уханя ,0
великобритания обвинила персонажа сериала «доктор хаус» в отравлении скрипалей ,0
«может быть  президент правильно поступил  что начал войну »  в казанском детском саду провели праздник в поддержку войны в украине,1
сенат сша постановил продлить действие плана даллеса для ссср ещё на 20 лет ,0
под киевом разбомбили завод по производству ракет «нептун»  власти украины заявляли  что этими ракетами был атакован крейсер «москва»,1
россиянам вернут деньги за отдых в россии,1
футболист и бывший муж бузовой ответил на информацию об устроенном пьяном дебоше,1
раскрыт способ улететь из россии на отдых при закрытых границах,1
в новую конституцию добавят 2 главы для служебного пользования ,0
the guardian  россия получила оружие из ирака через контрабандные сети ирана,1
кремль опубликовал декларацию путина  за год президент заработал 10 2 миллиона рублей,1
генсек нато заявил о разработке планов по размещению на востоке сил  способных противостоять полноценному вторжению,1
“не развод а оптимизация брака”  с 1 июня вступает в силу новая редакция семейного кодекса ,0
задержанным в белоруссии россиянам предъявили обвинение в контрабанде презервативов ,0
пообещавшему пенсионерам единоразовую выплату губернатору коммунисту грозит уголовное дело за подкуп избирателей ,0
вместо послания федеральному собранию президент зачитал призывы цк кпсс к 1 мая 1985 года ,0
в ватикане приняли в третьем чтении поправки к библии легализующие лгбт ,0
путин подписал указ о торговле газом с «недружественными» странами только за рубли  покупателям предложили конвертировать валюту в газпромбанке,1
илон маск откроет новую компанию,1
мишустин объяснил смысл олигархов в россии,1
партию «яблоко» пригласили на гей парад в амстердаме ,0
володин потребовал уволить с руководящих должностей деятелей культуры  выступивших против войны,1
die welt  германия поддержала введение эмбарго на российскую нефть,1
чернокожий подросток заработал на продаже разрешений на слово «ниггер»,1
первый канал вырезал фрагмент из интервью с создателем программы «взгляд»  где тот говорил о страхе перед культом личности сталина,1
в варшаве подсчитали убытки нанесённые городу красной армией ,0
«я знаю что он всегда мечтал жить у моря»  зеленский предложил пашиняну стать губернатором одесской области ,0
правительство утвердило вид выездной визы и способы ее получения ,0
кпрф договорилась о покупке либертарианской партии россии ,0
китай пообещал свою помощь в решении курильского вопроса ,0
папа римский в середине марта просил о встрече с путиным из за войны в украине  ответа он до сих пор не получил,1
в ростовском отеле бывший президент ожидают гостя из америки ,0
чернокожая фигуристка обвинила производителей колготок в дискриминации,1
мид россии обеспокоен приговором жителю латвии отказавшемуся носить нашивку негражданина ,0
брюс уиллис «приостановил актерскую карьеру» из за нарушения речи,1
билл гейтс назвал удручающими конспирологические теории о его связи с covid 19,1
поставщик телеком оборудования для крупнейших российских операторов ericsson приостановил свою деятельность в россии,1
найденный в голове трампа чип не представлял опасности ,0
дом за 90 миллионов предложили выиграть за 225 рублей,1
светлана тихановская после обеда в белом доме помыла посуду ,0
американские архивы подтверждают версию самоубийства троцкого ,0
германия наложила вето на строительство чехией пивопровода в скандинавию ,0
в екатеринбурге завершился «процесс над бесами» ,0
спецоперация фсб против боевиков в кабардино балкарии попала на видео,1
алексей навальный опознал свои трусы на фотографиях крещенского купания владимира путина ,0
«пришел в 200 ю секцию гума и отоварился по полной»  зюганов рассказал пионерам об отсутствии дефицита в ссср ,0
еспч разрешил платить хорватским сербам зарплату югославскими динарами ,0
в тюмени отменили концерт ддт  музыканты отказались играть в зале с буквой z,1
еврокомиссия анонсировала новые санкции  отказ от российской нефти  запрет на вещание телеканалов и отключение «сбера» от swift,1
стало известно о назначении в руководстве верховного суда россии,1
борис джонсон полгода не может найти работу ,0
на сардинии арестована вилла миллиардера мазепина и его сына — гонщика «формулы 1»,1
венесуэла признала восставший американский народ единственной законной властью в сша ,0
льва шлосберга и его жену оштрафовали на 62 тысячи рублей за «дискредитацию» армии,1
верховная рада приняла законопроект о запрете пророссийских партий в украине,1
«нужно давать дорогу молодым» — 65 летний губернатор томской области объявил  что покидает свой пост,1
сергей скрипаль объявил об участии в выборах короля великобритании ,0
cамолет президента армении сбил 9 азербайджанских истребителей ,0
редакция иа «панорама» стала ведущим консультантом федеральной целевой программы «россия 2030» ,0
на американской военной базе в результате стрельбы погиб человек,1
в россии декриминализируют статью за мизогинию ,0
тарасова прокомментировала информацию о работе с медведевой,1
моргенштерну направили повестку в военкомат для прохождения военной службы ,0
нло над японией оказался секретной моделью надувной ядерной бомбы кндр ,0
трамп нaзвaл нeдoпуcтимым пoвышение цeн нa арахисовую пасту ,0
полигон «аннино» рекультивировали в подмосковье,1
после отставки макрона по требованию «жёлтых жилетов» президентом станет его жена ,0
рпц перенесла архиерейский собор из за «международной обстановки»  осенью его перенесли из за пандемии,1
во франции арестовали два отеля жены друга путина геннадия тимченко,1
«слава богу  у нас диктатура » — лукашенко обосновал необходимость диктаторского режима в беларуси наличием соли,1
мвд белоруссии возбудило уголовное дело против гитлера за срыв 4 посевных и 5 уборочных ,0
внука хрущёва заставили разуться перед входом в зал генассамблеи оон ,0
минобороны возродит дирижаблестроение для военных нужд россии ,0
сша и израиль создадут лигу демократических государств вместо оон ,0
зеленский не сможет поздравить украинцев с новым годом из за плотного графика корпоративов ,0
правительство британии попросит королевский суд временно распространить юрисдикцию лондона на россию для расследования отравления скрипаля ,0
арестованную за антивоенную акцию художницу сашу скочиленко перевели в другую камеру после ее жалоб на травлю,1
на главного редактора «новой газеты» дмитрия муратова напали в поезде  его облили краской,1
расшифровка разговора между варшавой и берлином перехваченного белорусской разведкой оказалась распечаткой с форума «двач» ,0
миропомазание депутатов госдумы viii созыва пройдёт в главном храме вооружённых сил ,0
великобритания отправит украине 120 бронемашин и противокорабельные ракетные комплексы,1
генри киссинджер разочаровался в капитализме и назвал развал ссср величайшим преступлением америки ,0
киссинджер  в сша умышленно создали план по очернению сталина ,0
россию обвинили в попытках переписать историю,1
раскрыты подробности роскошной жизни детей российских звезд за границей,1
александр лукашенко и дмитрий песков торжественно откроют российско белорусский форум усы дружбы ,0
совет европы по ошибке направил спикеру госдумы приглашение на страсбургский гей парад ,0
временный президент боливии подписала закон предоставляющий сша право разработки газовых месторождений ,0
в день 115 летия брежнева представлено исправленное и дополненное издание книги «малая земля» ,0
партия виктора орбана в четвертый раз подряд победила на выборах в венгрии,1
москвичи фейерверками подожгли здание посольства польши ,0
europa press  испания арестовала три яхты и заморозила 12 счетов и фондов  связанных с российскими бизнесменами,1
в россии произошел пожар на питающей целый город тэц,1
хоркина осудила обвинивших тренеров в насилии иностранных гимнасток,1
бывший топ менеджер «аэрофлота» андрей панов призвал российских бизнесменов саботировать сделки и контракты  связанные с поддержкой войны,1
сша заказали вакцину от коронавируса почти на два миллиарда долларов,1
зеленский  российские войска начали битву за донбасс,1
ученый предрек отказ человечества от секса для продолжения рода,1
«я потерял все  но не потерял душу»  тиньков забирает из россии бренд tinkoff  чтобы «не марать его кровью русских солдат и жителей украины»,1
дональд трамп выкупил белый дом за 1  ,0
на первомайской демонстрации разрешат плакаты с конструктивной критикой власти ,0
косметический концерн coty  владеющий max factor  gucci и lacoste  уходит из россии,1
медведь заменит слона на эмблеме республиканской партии сша ,0
оон присвоила озеру севан статус моря ,0
президент финляндии  «нашим процветанием мы обязаны в первую очередь хрущёву» ,0
делегация «талибана»  в москве вакцинировалась «спутником v» ,0
мвд россии объявило в розыск участницу pussy riot марию алехину,1
пензенских школьников заставили отозвать клятву на верность арестованному экс губернатору которую они давали в 2019 году ,0
володин рассказал о приоритетах работы парламентариев одкб,0
путин пожелал украинцам «мирного и справедливого будущего»,1
польша отменит скандальный закон о реституции в обмен на помощь израильских специалистов по мигрантам ,0
во франции арестовали виллу российского олигарха михаила фридмана и квартиру его дочерей,1
в ново огарево прошли переговоры владимира путина и канцлера австрии карла нехаммера  это первая встреча путина с европейским лидером после начала войны,1
«мы целый склад затрофеили»  rt показал стреляные тубусы от шведских гранатометов в качестве ценных трофеев боевиков «лнр»,1
прокуратура объявила пропавшего после затопления «москвы» срочника «отсутствующим в воинской части»,1
на председателя профсоюза «курьер» завели уголовное дело по «дадинской» статье  его задержали на фоне забастовки курьеров,1
лукашенко сообщил о задержании своего лечащего доктора в рамках белорусского «дела врачей»  возбужденного еще в 2018 году,1
профильный комитет госдумы предложил отложить введение налога на воздух на 2020 год ,0
богачи бросились скупать частные острова,1
baza  ​во владивостоке задержали семиклассника  которого подозревают в подготовке взрыва школы,1
в москве отменили спектакль с юлией ауг после жалобы депутата хинштейна  актриса выступала против войны,1
нобелевский лауреат назвал очевидной связь между 5g и коронавирусом ,0
«россияне не побеждают и украинцы не побеждают»  разведка сша — о «патовой ситуации» в войне,1
лукашенко поручил декоммунизировать кгб ,0
в германии российского ученого приговорили к году условно  он собирал сведения о европейской космической программе для разведки рф,1
в здании госдепа отремонтировали знаменитое окно овертона ,0
трампу пригрозили импичментом за отказ переименовать улицу в вашингтоне в честь джона маккейна ,0
кайл риттенхаус проведёт мастер класс для польских пограничников ,0
в поселке макаров киевской области обнаружили 132 тела мирных жителей  расстрелянных российскими военными,1
кремль объяснил присвоение кадырову нового звания,1
риа новости  ведущие европейские политики требуют принять «белорусских» беженцев и выгнать из европы «сирийских» ,0
минздрав анонсировал вакцинирование 1600 россиян от коронавируса,1
китайское консульство в сша уличили в попытке похитить медицинские разработки,1
умер владимир жириновский,1
участница pussy riot рита флорес рассказала  что ее задержали в минске и заставили записать видео в поддержку лукашенко,1
владелец шрифтов times new roman и arial заблокировал доступ к ним для клиентов из россии,1
кгб обнародовало детали пакта навального тихановской о разделе белоруссии ,0
«тинькофф банк» вводит комиссию за звонки в колл центр ,0
аргентина и чили отказались от поставок лития в россию  в минпромторге рф предупредили о риске дефицита сырья для аккумуляторов,1
госдума работает над возвращением уголовной ответственности за гомосексуализм ,0
жителя петербурга оштрафовали на 30 тысяч рублей за антивоенную цитату путина,1
за полчаса до объявления о смерти жириновского лдпр написала твит о том  что он «жив и здоров»,1
женитьбу имама и 13 летней россиянки объяснили фразой «возник вопрос любви»,1
любовь соболь пообещала продолжить борьбу в сирии ,0
сейв после удара игрока «манчестер сити» спиной признан лучшим в туре апл,1
дом в котором находится ростовская квартира дональда трампа признали аварийным ,0
глава луганской ога  российские военные обстреляли два эвакуационных автобуса в попасной  один пропал  другой нашли со следами крови внутри,1
солист rammstein объединит в союз германию и россию в случае победы на выборах канцлера ,0
минобороны украины сообщило об уничтожении российского десантного катера около острова змеиный,1
российские военные назвали цель второго этапа войны в украине — это полный контроль над донбассом и сухопутный коридор в крым,1
нормальные люди по ночам спят  белорусская милиция объяснила избиения после голосования ,0
на марсе обнаружена российская военная база ,0
«доверия к этим людям давно уже нет»  мария захарова — об украинской делегации на переговорах,1
в москве 24 января пройдет стихийный народный митинг «за суровый суд над изменниками – инициаторами санкций» ,0
названа доля многодетных семей в россии,1
белорусский суд обязал википедию удалить информацию о протестах ,0
власти лнр собрались провести референдум о вхождении в состав россии,1
«я отказываюсь принимать участие в фашистском шабаше  устроенном рогозиным и роскосмосом»  — новое скандальное сообщение робота «федора»,1
евросоюз созывает конференцию по пересмотру итогов нюрнбергского трибунала ,0
россия возместит китаю ущерб от боевых действий на острове даманский ,0
ильхам алиев  азербайджан поддерживает территориальную целостность украины,1
порошенко встретился с сотрудниками завода roshen в липецке ,0
мосгорсуд отменил арест обвиняемым в незаконном задержании голунова полицейским,1
мать «помогла» сыну на собеседовании и лишила его работы,1
фургал попросил адвокатов вызвать психиатров в случае признания им вины,1
михаил дегтярёв обвинил спецслужбы сша в распространении фейковых новостей о нём ,0
зеленский  если на оккупированных территориях проведут «псевдореферендум»  украина прекратит переговоры с россией,1
вместо проскуряковой раздувшийся николаев нашел грудастую брюнетку после новости о разводе,0
на украине автоугонщик с гранатой взял в заложники полицейского,1
песков  санкции против путина показали  что запад способен на любые глупости,1
еще один российский завод внедрил бережливые технологии,1
телеканал «дождь» будет судиться с генпрокуратурой из за блокировки сайта,1
возможный удар по крымскому мосту 9 мая  отмена границ польши с украиной  горящий «адмирал макаров»  главное за день,1
минфин сша ввел санкции против даркнет‑площадки hydra,1
раскрыто требование захватившего полицейского в заложники украинца,1
ирландский рыболовецкий сейнер взял на абордаж российский корвет ,0
«сгорел ребенок  женщине полголовы снесло»  «настоящее время» опубликовало видео из села бузовая  где нашли десятки тел мирных жителей,1
на фиджи арестована яхта  связанная с российским олигархом сулейманом керимовым,1
в красноярском крае из за пожаров перекрыли федеральную трассу  в одном из районов введен режим чс,1
шарапова рассказала о последствиях дисквалификации,1
вслед за списком недружественных государств появится список недружественных национальностей ,0
«я работаю на уровне политиков а не директоров фирм»  президент сингапура дала шокирующее объяснение почему она никогда не встречалась с медведевым ,0
десять населённых пунктов в чехии вернули себе чехословацкие названия ,0
украина сообщила об удачной расшифровке черных ящиков сбитого в иране boeing,1
cnn получил видео  снятое в середине марта в буче  оно показывает российские войска и тела убитых на улицах города,1
«русал» первым среди российских компаний призвал расследовать убийства в буче,1
валерий рашкин  лося мне подбросили ,0
захватившему автобус в луцке предъявили обвинения,1
в госдуме создана комиссия по созданию новых комиссий в госдуме ,0
